sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
43,muroDonnafugataPietre,73,102,0.892,0.009,0.442,-4.642,-0.27,-2.532,0.428,0.112,0.195,-0.102,-0.669,0.046,0.367,0.284,0.57,16.244,14.217,3.682,0.091,-0.094,-0.991,0.996,0.013,0.091,0.004,-0.996,0.094,0.341,0.62,0.492,0.349,0.637,0.517,0.44,0.041,0.897,0.0,0.0,0.0,0.282,0.586,0.585,0.181,0.923,0.198,0.0,0.0,0.0,0.0,0.0,0.0,granule
44,muroDonnafugataPietre,77,105,0.878,0.01,0.383,-3.658,-0.283,-2.26,0.454,0.1,0.216,-0.004,-0.607,-0.117,0.473,0.322,0.539,18.069,18.126,4.243,0.105,0.043,-0.994,-0.692,0.721,-0.042,0.715,0.692,0.105,0.37,0.634,0.501,0.329,0.608,0.569,0.476,0.126,0.682,0.27,0.623,0.734,0.447,0.599,0.452,0.349,0.756,0.354,0.0,0.0,0.0,0.677,0.078,0.731,granule
45,muroDonnafugataPietre,52,62,0.58,0.005,0.534,-4.381,-0.245,-3.012,0.368,0.08,0.176,-0.012,-0.643,-0.092,0.506,0.302,0.48,8.102,7.985,1.886,0.097,0.044,0.994,-0.768,0.639,0.047,-0.634,-0.768,0.096,0.54,0.599,0.302,0.359,0.771,0.286,0.684,0.199,0.661,0.0,0.0,0.0,0.386,0.626,0.484,0.342,0.721,0.435,0.0,0.0,0.0,0.0,0.0,0.0,granule
46,muroDonnafugataPietre,71,101,0.713,0.006,0.337,-4.662,-0.192,-3.498,0.285,0.128,0.171,0.051,-0.476,-0.143,0.448,0.36,0.649,8.165,6.054,3.816,0.192,0.411,0.891,-0.832,0.55,-0.075,-0.521,-0.727,0.447,0.309,0.607,0.603,0.377,0.462,0.688,0.575,0.252,0.631,0.09,0.081,0.993,0.373,0.552,0.603,0.401,0.617,0.494,0.375,0.322,0.869,0.15,0.346,0.847,granule
47,muroDonnafugataPietre,176,253,2.645,0.047,0.481,-2.743,-0.29,-3.714,0.963,0.141,0.343,-0.008,-0.677,-0.01,0.392,0.407,0.472,181.969,169.258,23.518,0.067,-0.016,0.998,0.843,0.535,-0.048,-0.533,0.845,0.049,0.283,0.781,0.296,0.224,0.845,0.316,0.546,0.25,0.649,0.54,0.545,0.392,0.339,0.682,0.437,0.21,0.827,0.339,0.7,0.2,0.569,0.403,0.298,0.691,pebble
48,muroDonnafugataPietre,89,112,1.282,0.048,0.386,-2.278,-0.186,-0.647,0.436,0.391,0.28,-0.202,-0.57,0.264,0.444,0.404,0.451,31.745,29.689,13.483,0.62,-0.357,-0.699,0.75,0.01,0.661,-0.229,-0.934,0.274,0.334,0.801,0.305,0.446,0.641,0.426,0.0,0.0,0.0,0.582,0.332,0.632,0.294,0.799,0.342,0.282,0.617,0.543,0.0,0.0,0.0,0.538,0.213,0.666,granule
49,muroDonnafugataPietre,125,185,2.442,0.032,0.43,-0.542,-0.46,-0.875,0.563,0.122,0.469,-0.03,-0.547,0.14,0.404,0.462,0.551,55.899,55.518,26.47,0.42,-0.348,0.838,0.66,0.751,-0.019,-0.623,0.561,0.545,0.208,0.802,0.349,0.289,0.677,0.465,0.991,0.106,0.081,0.413,0.318,0.739,0.214,0.758,0.404,0.372,0.594,0.477,0.538,0.358,0.676,0.576,0.262,0.633,pebble
50,muroDonnafugataPietre,84,126,1.069,0.012,0.455,-1.669,-0.418,-1.571,0.389,0.1,0.302,-0.022,-0.607,-0.179,0.497,0.392,0.445,19.793,13.718,8.922,0.249,-0.476,-0.844,0.882,0.472,-0.006,0.401,-0.742,0.537,0.44,0.655,0.403,0.349,0.75,0.265,0.387,0.71,0.462,0.128,0.757,0.597,0.434,0.601,0.532,0.374,0.766,0.24,0.582,0.339,0.689,0.71,0.66,0.246,granule
51,muroDonnafugataPietre,109,163,1.393,0.018,0.278,-2.766,-0.23,-1.795,0.338,0.17,0.321,-0.137,-0.426,0.049,0.511,0.441,0.585,23.58,15.183,14.939,0.47,-0.842,0.264,0.882,0.436,-0.178,0.035,0.317,0.948,0.292,0.652,0.517,0.581,0.407,0.546,0.494,0.472,0.635,0.634,0.211,0.595,0.335,0.597,0.531,0.365,0.74,0.367,0.739,0.238,0.485,0.615,0.373,0.448,granule
52,muroDonnafugataPietre,63,79,0.681,0.007,0.382,-2.292,-0.355,-2.281,0.327,0.105,0.218,-0.186,-0.546,-0.04,0.47,0.332,0.578,9.655,8.461,2.688,0.36,-0.204,0.911,0.687,0.718,-0.111,-0.631,0.666,0.398,0.56,0.375,0.549,0.359,0.643,0.462,0.72,0.177,0.596,0.999,0.02,0.03,0.38,0.649,0.56,0.26,0.777,0.401,0.249,0.05,0.955,0.0,0.0,0.0,granule
53,muroDonnafugataPietre,19,22,0.116,0.001,0.857,-2.545,-0.292,-2.743,0.132,0.058,0.122,-0.301,-0.617,0.024,0.43,0.434,0.394,0.586,0.573,0.202,0.594,-0.31,-0.742,0.662,0.713,0.232,0.457,-0.629,0.629,0.514,0.714,0.289,0.574,0.612,0.392,0.924,0.362,0.122,0.917,0.107,0.384,0.14,0.98,0.123,0.224,0.88,0.372,0.375,0.488,0.788,0.0,0.0,0.0,sand
54,muroDonnafugataPietre,103,161,1.452,0.014,0.336,-3.409,-0.266,-2.986,0.476,0.097,0.304,-0.147,-0.555,0.048,0.499,0.477,0.437,32.894,21.096,13.588,0.118,-0.498,-0.859,0.992,0.091,0.084,0.036,-0.862,0.505,0.504,0.64,0.292,0.345,0.703,0.419,0.76,0.368,0.335,0.714,0.209,0.481,0.22,0.853,0.255,0.372,0.701,0.402,0.332,0.546,0.644,0.03,0.968,0.25,granule
55,muroDonnafugataPietre,43,48,0.632,0.008,0.494,-2.02,-0.419,-2.824,0.317,0.083,0.286,-0.102,-0.702,0.113,0.424,0.339,0.436,6.362,7.335,2.584,0.577,-0.254,0.776,0.499,0.862,-0.089,-0.646,0.439,0.624,0.261,0.921,0.106,0.367,0.625,0.397,0.978,0.05,0.202,0.0,0.0,0.0,0.315,0.769,0.434,0.313,0.51,0.481,0.0,0.0,0.0,0.258,0.014,0.966,sand
56,muroDonnafugataPietre,39,58,0.359,0.003,0.331,-1.333,-0.438,-2.416,0.277,0.102,0.1,0.041,-0.505,-0.1,0.423,0.398,0.629,3.436,3.423,0.713,0.171,0.023,0.985,-0.969,0.186,0.164,-0.18,-0.982,0.054,0.315,0.606,0.532,0.33,0.768,0.411,0.741,0.132,0.659,0.357,0.182,0.671,0.283,0.582,0.664,0.307,0.611,0.582,0.326,0.284,0.686,0.891,0.114,0.439,sand
57,muroDonnafugataPietre,65,95,0.685,0.009,0.274,-1.084,-0.423,-2.026,0.287,0.141,0.212,-0.003,-0.451,0.098,0.419,0.441,0.645,7.571,8.898,2.643,0.57,0.085,0.817,-0.539,0.789,0.294,-0.62,-0.608,0.495,0.37,0.653,0.433,0.327,0.569,0.568,0.0,0.0,0.0,0.384,0.442,0.616,0.327,0.592,0.595,0.323,0.627,0.624,0.418,0.289,0.741,0.197,0.3,0.882,granule
58,muroDonnafugataPietre,168,278,3.806,0.049,0.491,-0.129,-0.372,-3.07,1.049,0.117,0.395,0.02,-0.643,-0.136,0.426,0.427,0.452,193.399,206.744,26.825,0.101,-0.021,0.995,0.572,0.819,-0.041,-0.814,0.573,0.094,0.249,0.747,0.342,0.191,0.816,0.333,0.69,0.425,0.455,0.907,0.208,0.321,0.232,0.705,0.403,0.461,0.683,0.236,0.592,0.22,0.536,0.601,0.42,0.458,pebble
