nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
26,32,0.011,0.0,2.107,0.836,-0.069,-0.433,0.038,0.013,0.039,0.345,0.047,0.574,0.361,0.54,0.356,0.065,0.075,0.02,0.71,0.166,0.684,-0.347,0.928,0.135,-0.612,-0.333,0.717,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.919,0.13,0.251,0.625,0.711,0.076,0.91,0.271,0.522,0.299,0.74,0.0,0.0,0.0,0.487,0.498,0.612,silt
104,157,0.072,0.0,1.142,0.012,-0.087,-0.36,0.105,0.026,0.075,0.243,-0.131,0.607,0.443,0.453,0.393,1.616,1.358,0.646,0.229,0.27,0.935,-0.8,0.6,0.023,-0.555,-0.753,0.353,0.315,0.723,0.242,0.34,0.47,0.709,0.0,0.0,0.0,0.394,0.405,0.706,0.734,0.507,0.232,0.384,0.327,0.73,0.167,0.948,0.271,0.447,0.346,0.697,silt
130,196,0.081,0.0,1.077,0.269,-0.089,-0.351,0.079,0.029,0.101,0.116,-0.127,0.602,0.516,0.448,0.377,1.493,2.142,0.868,0.966,0.182,-0.184,-0.212,0.964,-0.159,0.149,0.192,0.97,0.719,0.319,0.461,0.59,0.316,0.592,0.213,0.033,0.976,0.544,0.376,0.588,0.436,0.619,0.338,0.372,0.368,0.742,0.688,0.589,0.181,0.448,0.42,0.626,silt
13,10,0.004,0.0,4.47,0.164,-0.084,-0.34,0.015,0.017,0.043,0.103,-0.4,0.739,0.283,0.333,0.304,0.028,0.029,0.004,0.994,-0.106,-0.029,0.093,0.952,-0.293,0.058,0.289,0.956,0.0,0.0,0.0,0.234,0.744,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.314,0.829,0.0,0.0,0.0,0.197,0.116,0.974,silt
23,24,0.009,0.0,2.7,0.135,-0.11,-0.214,0.033,0.006,0.033,0.229,-0.085,0.697,0.467,0.314,0.371,0.036,0.05,0.018,0.729,0.178,-0.661,-0.269,0.962,-0.037,0.63,0.205,0.749,0.573,0.778,0.257,0.651,0.281,0.578,0.0,0.0,0.0,0.461,0.344,0.818,0.0,0.0,0.0,0.396,0.226,0.856,0.428,0.714,0.554,0.55,0.206,0.785,silt
50,61,0.018,0.0,1.435,0.479,-0.052,-0.194,0.048,0.033,0.035,0.016,0.001,0.53,0.512,0.572,0.361,0.187,0.175,0.096,0.505,-0.058,-0.861,0.227,0.971,0.068,0.833,-0.23,0.504,0.0,0.0,0.0,0.407,0.43,0.662,0.918,0.396,0.011,0.336,0.53,0.555,0.661,0.271,0.7,0.244,0.521,0.624,0.897,0.247,0.302,0.499,0.489,0.563,silt
63,100,0.024,0.0,1.063,0.641,-0.038,-0.192,0.056,0.021,0.029,0.098,-0.29,0.394,0.494,0.548,0.455,0.253,0.226,0.081,0.117,0.095,0.989,-0.604,0.797,-0.005,-0.788,-0.597,0.15,0.429,0.762,0.231,0.439,0.593,0.464,0.825,0.116,0.471,0.354,0.37,0.711,0.446,0.715,0.339,0.347,0.575,0.563,0.559,0.578,0.329,0.533,0.359,0.675,silt
91,126,0.06,0.0,0.855,0.531,-0.076,-0.293,0.102,0.039,0.066,0.246,0.17,0.475,0.408,0.599,0.399,1.229,1.369,0.371,0.441,0.103,-0.892,0.031,0.991,0.13,0.897,-0.085,0.433,0.446,0.49,0.487,0.396,0.268,0.705,0.74,0.421,0.326,0.189,0.48,0.745,0.735,0.56,0.202,0.36,0.372,0.729,0.437,0.738,0.281,0.402,0.72,0.354,silt
138,204,0.068,0.0,0.507,0.788,-0.057,-0.267,0.08,0.034,0.077,0.103,0.13,0.395,0.58,0.539,0.436,1.663,1.273,0.818,0.482,0.593,-0.645,-0.758,0.651,0.032,0.439,0.474,0.763,0.457,0.706,0.354,0.705,0.384,0.416,0.564,0.565,0.366,0.629,0.315,0.532,0.625,0.223,0.541,0.391,0.379,0.714,0.514,0.708,0.279,0.524,0.545,0.452,silt
112,157,0.062,0.0,1.253,0.936,-0.038,-0.16,0.097,0.025,0.068,0.212,-0.151,0.604,0.405,0.481,0.415,1.217,1.468,0.59,0.321,0.148,0.936,-0.398,0.917,-0.009,-0.86,-0.369,0.353,0.688,0.5,0.322,0.305,0.691,0.442,0.0,0.0,0.0,0.401,0.514,0.615,0.45,0.625,0.396,0.412,0.283,0.756,0.634,0.719,0.284,0.369,0.304,0.787,silt
65,88,0.026,0.0,0.573,0.891,-0.046,-0.022,0.064,0.027,0.048,0.228,0.049,0.346,0.482,0.631,0.443,0.406,0.422,0.092,0.572,0.099,0.814,-0.487,0.84,0.24,-0.66,-0.533,0.529,0.535,0.615,0.435,0.343,0.483,0.639,0.344,0.777,0.326,0.344,0.671,0.483,0.833,0.368,0.213,0.493,0.526,0.507,0.621,0.6,0.236,0.377,0.517,0.576,silt
