sep=,
object,collection,nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
mongialino.024,pietreMongialino,523,919,3.07,0.04,0.359,-1.945,-0.094,0.744,0.567,0.192,0.362,-0.042,-0.041,0.564,0.488,0.562,0.352,230.654,188.838,92.958,0.178,-0.277,-0.944,0.903,0.427,0.045,0.391,-0.861,0.326,0.517,0.633,0.213,0.387,0.452,0.67,0.497,0.662,0.251,0.428,0.466,0.607,0.332,0.843,0.224,0.406,0.457,0.636,0.722,0.628,0.067,0.428,0.46,0.613,pebble
mongialino.025,pietreMongialino,421,719,1.714,0.029,0.379,-2.444,0.159,1.528,0.452,0.187,0.349,0.133,-0.238,0.53,0.528,0.474,0.375,123.165,138.851,41.653,0.543,0.184,0.82,-0.061,0.982,-0.18,-0.838,0.048,0.544,0.387,0.762,0.306,0.321,0.498,0.694,0.823,0.346,0.155,0.475,0.405,0.633,0.635,0.523,0.334,0.421,0.494,0.602,0.743,0.461,0.273,0.656,0.306,0.495,pebble
mongialino.026,pietreMongialino,77,115,0.345,0.002,0.568,-4.593,-0.835,1.661,0.184,0.103,0.117,0.182,0.023,0.566,0.496,0.544,0.323,3.417,3.594,1.966,0.389,0.285,0.876,-0.853,0.47,0.226,-0.347,-0.836,0.426,0.0,0.0,0.0,0.318,0.485,0.705,0.0,0.0,0.0,0.296,0.619,0.623,0.74,0.559,0.104,0.564,0.355,0.591,0.843,0.492,0.217,0.501,0.44,0.601,sand
mongialino.027,pietreMongialino,891,1626,4.72,0.108,0.414,-4.022,-0.41,0.804,0.615,0.379,0.464,0.29,-0.172,0.502,0.468,0.524,0.376,622.232,441.805,249.357,0.478,0.204,0.855,-0.829,0.427,0.361,-0.291,-0.881,0.373,0.402,0.788,0.166,0.329,0.474,0.687,0.405,0.387,0.564,0.349,0.445,0.712,0.727,0.509,0.233,0.422,0.504,0.581,0.744,0.471,0.241,0.586,0.44,0.484,boulder
mongialino.028,pietreMongialino,481,869,2.057,0.024,0.312,-5.212,-0.694,-0.599,0.253,0.247,0.391,0.189,0.095,0.465,0.55,0.54,0.38,111.102,105.943,49.97,0.905,0.425,0.026,-0.4,0.828,0.392,0.146,-0.365,0.92,0.472,0.526,0.539,0.393,0.449,0.691,0.517,0.446,0.551,0.377,0.495,0.672,0.688,0.421,0.297,0.612,0.417,0.464,0.722,0.466,0.251,0.495,0.544,0.486,pebble
mongialino.029,pietreMongialino,320,542,1.616,0.016,0.384,-4.428,-0.696,-0.654,0.28,0.155,0.361,-0.128,-0.04,0.575,0.504,0.556,0.296,55.381,61.819,32.024,0.886,-0.429,-0.176,0.426,0.903,-0.06,0.184,-0.021,0.983,0.84,0.333,0.225,0.527,0.42,0.608,0.686,0.377,0.315,0.452,0.512,0.564,0.762,0.478,0.159,0.344,0.617,0.515,0.633,0.541,0.289,0.319,0.429,0.754,pebble
mongialino.030,pietreMongialino,208,351,0.926,0.009,0.3,-3.647,-0.394,-0.136,0.164,0.315,0.169,0.174,0.24,0.382,0.507,0.609,0.372,27.191,28.668,8.359,0.973,0.216,0.086,-0.161,0.357,0.92,0.168,-0.909,0.382,0.513,0.78,0.359,0.347,0.622,0.558,0.259,0.922,0.179,0.391,0.653,0.466,0.76,0.475,0.218,0.582,0.45,0.477,0.562,0.685,0.253,0.464,0.554,0.527,granule
mongialino.031,pietreMongialino,447,784,1.792,0.019,0.311,-5.078,-0.927,-1.721,0.335,0.195,0.297,0.232,-0.149,0.487,0.459,0.566,0.395,97.325,51.32,64.695,0.455,0.844,0.284,-0.875,0.483,-0.036,-0.167,-0.232,0.958,0.609,0.563,0.34,0.3,0.46,0.732,0.716,0.479,0.508,0.289,0.559,0.662,0.605,0.65,0.238,0.465,0.562,0.496,0.751,0.43,0.302,0.463,0.449,0.618,pebble
mongialino.032,pietreMongialino,82,114,0.353,0.003,0.513,-4.322,-0.68,-1.403,0.198,0.102,0.151,0.108,-0.096,0.613,0.406,0.596,0.29,4.269,5.017,2.591,0.511,0.142,-0.848,-0.438,0.892,-0.114,0.74,0.429,0.518,0.461,0.884,0.08,0.232,0.649,0.605,0.0,0.0,0.0,0.445,0.323,0.74,0.285,0.935,0.138,0.268,0.546,0.636,0.729,0.677,0.102,0.421,0.484,0.63,granule
mongialino.033,pietreMongialino,85,126,0.359,0.003,0.39,-3.768,-0.648,-1.378,0.171,0.143,0.109,0.054,0.175,0.474,0.497,0.633,0.308,3.92,3.734,2.838,0.678,0.557,-0.48,-0.162,0.75,0.641,0.717,-0.357,0.599,0.695,0.668,0.267,0.451,0.534,0.574,0.638,0.492,0.104,0.249,0.671,0.584,0.981,0.103,0.136,0.52,0.476,0.479,0.534,0.591,0.077,0.392,0.619,0.437,sand
